LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
28.63411,77.21681,2020,1,20,0,0.005235,64.3,99.22,14.6,10.99,4.37,4.34,18.52,3.93,10.78
28.63411,77.21681,2020,1,21,0,0.004538,49.46,99.31,13.53,12.45,2.29,2.34,20.11,6.58,12.61
28.63411,77.21681,2020,1,22,0,0.004838,53.25,99.46,14.93,12.04,3.24,3.23,21.13,6.2,12.48
28.63411,77.21681,2020,1,23,0,0.004586,55.21,99.32,15.7,11.15,2.48,2.46,20.25,4.55,11.1
28.63411,77.21681,2020,1,24,0,0.00376,44.81,99.09,18.65,11.06,-0.4,-0.26,22.19,3.54,11.23
28.63411,77.21681,2020,1,25,0,0.003929,45.43,99.14,16.55,11.37,0.22,0.28,20.94,4.39,11.69
28.63411,77.21681,2020,1,26,0,0.00555,54.34,98.95,15.16,13.68,5.13,4.86,22.99,7.84,14.19
28.63411,77.21681,2020,1,27,1.59,0.006439,57.8,98.69,14.66,14.88,7.27,7.16,23.78,9.12,15.49
28.63411,77.21681,2020,1,28,6.69,0.007597,75.61,98.58,8.83,13.55,9.67,9.64,19.14,10.31,13.86
28.63411,77.21681,2020,1,29,1.3,0.006438,65.6,99.1,12.23,13.47,7.34,7.1,20.92,8.68,13.59
28.63411,77.21681,2020,1,30,0,0.005061,58.16,99.24,14.98,11.84,3.87,3.83,20.38,5.4,11.78
28.63411,77.21681,2020,1,31,0,0.004728,54.46,98.99,15.66,11.14,2.86,2.86,20.09,4.43,11.72
28.63411,77.21681,2020,2,1,0,0.004561,50.68,99.29,13.69,11.46,2.37,2.42,20.49,6.8,12.31
28.63411,77.21681,2020,2,2,0,0.004759,56.81,99.44,16.69,11.23,3.03,3.01,20.73,4.04,11.25
28.63411,77.21681,2020,2,3,0,0.004438,50.74,99.32,16.46,10.91,1.99,1.97,20.87,4.41,11.88
28.63411,77.21681,2020,2,4,0,0.004337,48.28,99.16,16.71,11.95,1.62,1.69,21.16,4.45,12.27
28.63411,77.21681,2020,2,5,0,0.004492,50.12,99.17,15.87,12.46,2.13,2.2,21.2,5.34,12.23
28.63411,77.21681,2020,2,6,0,0.004564,52.16,99.1,15.31,11.63,2.36,2.4,20.01,4.69,11.86
28.63411,77.21681,2020,2,7,0,0.004395,49.67,99.36,13.96,11.89,1.85,1.92,20.36,6.39,12.07
28.63411,77.21681,2020,2,8,0,0.004567,52.69,99.54,17.23,11.66,2.43,2.45,21.48,4.26,11.78
28.63411,77.21681,2020,2,9,0,0.004464,48.43,99.58,18.02,12.28,2.09,2.14,22.82,4.8,12.72
28.63411,77.21681,2020,2,10,0,0.004435,45.82,99.37,16.68,12.54,1.94,2.03,22.32,5.64,13.44
28.63411,77.21681,2020,2,11,0,0.00473,46.49,99.39,15.23,13,2.86,2.91,22.87,7.64,14.2
28.63411,77.21681,2020,2,12,0,0.005121,45.77,99.31,19.09,15.33,3.97,4.01,26.24,7.15,15.66
28.63411,77.21681,2020,2,13,0,0.006653,49.12,98.99,18.66,18.78,7.74,7.72,29.56,10.9,18.62
28.63411,77.21681,2020,2,14,0,0.005675,44.84,98.73,15.56,17.58,5.35,5.3,26.58,11.02,17.5
28.63411,77.21681,2020,2,15,0,0.00407,36.51,98.76,19.43,15.44,0.59,0.7,26.93,7.49,15.53
