LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
23.24171,71.80971,2020,1,20,0,0.005428,46.39,101.19,18.31,16.53,5.08,5.08,26.42,8.11,16.66
23.24171,71.80971,2020,1,21,0,0.004885,39.79,101.17,17.48,17.39,3.51,3.56,27.43,9.95,17.42
23.24171,71.80971,2020,1,22,0,0.00534,43.33,101.37,18.91,17.76,4.84,4.84,27.93,9.02,17.5
23.24171,71.80971,2020,1,23,0,0.005691,46.61,101.41,18.03,17.41,5.79,5.79,27.58,9.54,17.36
23.24171,71.80971,2020,1,24,0,0.005485,44.39,101.29,18.88,17.84,5.22,5.23,28.18,9.3,17.53
23.24171,71.80971,2020,1,25,0,0.005219,37.17,101.17,18.51,19,4.44,4.51,29.12,10.61,19.56
23.24171,71.80971,2020,1,26,0,0.005691,36.83,100.98,16.32,20.12,5.66,5.7,29.56,13.23,21.08
23.24171,71.80971,2020,1,27,0,0.008572,56.84,100.73,15.47,21.01,11.83,11.63,29.07,13.6,20.61
23.24171,71.80971,2020,1,28,0,0.007068,52.81,100.82,12.22,19.2,8.93,8.72,25.41,13.19,18.72
23.24171,71.80971,2020,1,29,0,0.005182,42.57,101.22,15.23,17.09,4.38,4.16,24.92,9.69,17.29
23.24171,71.80971,2020,1,30,0,0.004497,36.84,101.3,17.27,17.07,2.35,2.44,26,8.72,17.35
23.24171,71.80971,2020,1,31,0,0.004609,39.59,101.1,17.93,17.13,2.68,2.76,26.48,8.55,16.57
23.24171,71.80971,2020,2,1,0,0.00419,35.12,101.23,18.8,17.01,1.34,1.43,27.27,8.47,16.98
23.24171,71.80971,2020,2,2,0,0.004792,38.54,101.35,18.24,17.9,3.26,3.31,27.53,9.29,17.65
23.24171,71.80971,2020,2,3,0,0.004799,38.08,101.24,18.59,18.44,3.26,3.34,27.79,9.21,17.85
23.24171,71.80971,2020,2,4,0,0.004452,34.11,101.09,17.52,18.47,2.17,2.25,28.07,10.55,18.38
23.24171,71.80971,2020,2,5,0,0.004906,37.69,101.13,18.21,19.01,3.55,3.65,27.98,9.77,18.34
23.24171,71.80971,2020,2,6,0,0.00451,35.41,101.12,17.95,18.6,2.35,2.5,27.95,10,17.99
23.24171,71.80971,2020,2,7,0,0.003689,29.42,101.24,19.07,18.05,-0.42,-0.29,28.18,9.1,17.78
