LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
29.20651,76.33741,2020,1,20,0,0.005215,66.66,99.19,12.63,9.95,4.31,4.27,16.9,4.27,10.18
29.20651,76.33741,2020,1,21,0,0.00476,55.76,99.27,13.13,11.46,3,3,19.2,6.07,11.5
29.20651,76.33741,2020,1,22,0,0.005044,59.7,99.47,14.73,11.14,3.87,3.82,19.98,5.24,11.38
29.20651,76.33741,2020,1,23,0,0.004526,56.99,99.34,15.97,10.43,2.31,2.28,19.73,3.77,10.43
29.20651,76.33741,2020,1,24,0,0.003641,44.63,99.09,19,10.51,-0.84,-0.71,21.82,2.82,10.81
29.20651,76.33741,2020,1,25,0,0.004398,49.24,99.09,14.92,11.27,1.81,1.7,20.27,5.35,12.16
29.20651,76.33741,2020,1,26,0,0.005915,55.94,98.91,13.69,13.95,6.06,5.92,23.23,9.54,14.71
29.20651,76.33741,2020,1,27,4.3,0.006778,65.08,98.63,14.27,14.22,8.02,7.83,22.67,8.39,14.43
29.20651,76.33741,2020,1,28,5.99,0.007725,79.15,98.52,9.65,13.24,9.89,9.87,19.54,9.89,13.4
29.20651,76.33741,2020,1,29,0.34,0.00607,66.24,99.08,12.86,12.28,6.48,6.36,20.03,7.17,12.54
29.20651,76.33741,2020,1,30,0,0.005105,59.82,99.23,14.76,11.18,4,3.95,19.93,5.17,11.49
29.20651,76.33741,2020,1,31,0,0.0047,53.07,98.95,14.86,10.58,2.76,2.76,19.65,4.78,12.01
29.20651,76.33741,2020,2,1,0,0.004574,51.28,99.26,13.51,10.98,2.41,2.43,20.09,6.58,12.17
29.20651,76.33741,2020,2,2,0,0.004748,57.23,99.42,16.22,10.46,2.99,2.97,20.09,3.86,11.1
29.20651,76.33741,2020,2,3,0,0.004284,48.14,99.27,15.06,10.39,1.47,1.5,20.49,5.43,12.14
29.20651,76.33741,2020,2,4,0,0.004473,51.75,99.11,17.38,11.59,2.08,2.07,20.88,3.5,11.67
29.20651,76.33741,2020,2,5,0,0.004659,56.16,99.17,15.29,11.29,2.69,2.7,19.77,4.48,11.06
29.20651,76.33741,2020,2,6,0,0.004591,52.82,99.05,14.82,10.98,2.44,2.47,19.74,4.92,11.75
29.20651,76.33741,2020,2,7,0,0.00445,51.69,99.33,13.61,11.27,2.03,2.08,19.87,6.26,11.64
29.20651,76.33741,2020,2,8,0,0.004437,50.24,99.52,15.84,10.93,2.01,2.04,21.22,5.38,12.06
29.20651,76.33741,2020,2,9,0,0.004346,46.13,99.55,16.26,11.81,1.69,1.74,22.52,6.25,13.05
29.20651,76.33741,2020,2,10,0,0.004439,44.3,99.33,15.66,12.19,1.94,2.02,22.16,6.5,13.96
29.20651,76.33741,2020,2,11,0,0.004681,45.16,99.35,14.31,12.82,2.69,2.74,22.68,8.37,14.49
29.20651,76.33741,2020,2,12,0,0.005113,45.27,99.31,18.12,15.19,3.94,3.95,25.94,7.83,15.81
