LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
14.74581,76.15401,2020,1,20,0,0.011017,54.13,94.43,14.19,25.9,14.67,14.52,32.27,18.08,24.46
14.74581,76.15401,2020,1,21,0,0.009665,49.56,94.53,14.57,25.13,12.64,12.46,31.81,17.24,23.78
14.74581,76.15401,2020,1,22,0,0.00975,52.16,94.59,15.51,24.4,12.8,12.5,31.7,16.19,23.09
14.74581,76.15401,2020,1,23,0,0.009685,49.53,94.51,14.69,25.15,12.67,12.23,32.5,17.81,23.82
14.74581,76.15401,2020,1,24,0,0.008731,45.53,94.51,15.78,24.62,11.06,10.75,32.38,16.59,23.51
14.74581,76.15401,2020,1,25,0,0.007998,41.21,94.48,17.8,24.92,9.7,9.73,33.01,15.21,23.71
14.74581,76.15401,2020,1,26,0,0.008098,39.93,94.37,17.69,25.92,9.86,9.9,33.58,15.89,24.42
14.74581,76.15401,2020,1,27,0,0.009374,44.08,94.29,17.69,26.69,12.09,11.85,34.53,16.84,25.19
14.74581,76.15401,2020,1,28,0,0.012694,61.19,94.32,13.31,26.63,16.89,16.69,32.67,19.37,24.75
14.74581,76.15401,2020,1,29,0,0.010921,54.53,94.44,15.05,26.36,14.54,14.23,32.89,17.84,24.2
14.74581,76.15401,2020,1,30,0,0.009676,46.82,94.37,17.74,26.89,12.61,12.36,34.14,16.41,24.72
14.74581,76.15401,2020,1,31,0,0.009592,46.49,94.23,17.49,26.93,12.45,12.13,34.33,16.84,24.67
14.74581,76.15401,2020,2,1,0,0.011716,54.14,94.26,16.38,27.31,15.6,15.48,33.68,17.3,25.46
14.74581,76.15401,2020,2,2,0,0.010744,48.15,94.47,11.56,27.69,14.25,14.14,32.16,20.6,26.02
14.74581,76.15401,2020,2,3,0,0.009373,42.82,94.46,14.5,27.54,12.11,12.03,33.37,18.87,25.71
14.74581,76.15401,2020,2,4,0,0.008986,42.41,94.31,15.92,26.99,11.44,11.27,33.53,17.61,25.14
14.74581,76.15401,2020,2,5,0,0.009653,43.77,94.34,15.42,27.83,12.54,12.5,33.53,18.11,25.81
14.74581,76.15401,2020,2,6,0,0.010664,46.91,94.31,14.67,28.81,14.1,13.99,33.85,19.18,26.31
14.74581,76.15401,2020,2,7,0,0.011854,56.29,94.39,14.29,27.51,15.81,15.68,33.06,18.77,25.02
14.74581,76.15401,2020,2,8,0,0.009508,48.87,94.43,15.66,26.11,12.37,12.07,32.57,16.91,23.73
14.74581,76.15401,2020,2,9,0,0.010207,50.17,94.43,16.99,27.25,13.47,13.34,32.98,15.99,24.47
14.74581,76.15401,2020,2,10,0,0.011037,51.96,94.47,11.61,27.09,14.69,14.54,31.67,20.05,25.18
14.74581,76.15401,2020,2,11,0,0.010445,49.21,94.51,14,27.17,13.83,13.65,32.66,18.66,25.19
14.74581,76.15401,2020,2,12,0,0.00952,45.96,94.66,14.81,26.61,12.4,12.11,32.82,18.01,24.81
14.74581,76.15401,2020,2,13,0,0.009098,43.34,94.59,15.85,26.78,11.68,11.63,33.34,17.49,25.03
14.74581,76.15401,2020,2,14,0,0.007264,33.81,94.37,16.85,27.18,8.22,8.16,34.08,17.23,25.4
14.74581,76.15401,2020,2,15,0,0.004671,20.65,94.35,16.58,27.35,1.96,2.02,35.52,18.94,26.29
14.74581,76.15401,2020,2,16,0,0.005344,24.98,94.44,19.14,26.69,3.83,3.89,35.09,15.95,25.36
14.74581,76.15401,2020,2,17,0,0.006175,28.78,94.51,18.17,26.87,5.89,5.95,34.82,16.65,25.41
14.74581,76.15401,2020,2,18,0,0.006909,32.26,94.48,17.29,26.86,7.51,7.58,34.13,16.84,25.37
14.74581,76.15401,2020,2,19,0,0.007474,33.74,94.4,17.77,27.81,8.65,8.65,34.99,17.22,25.92
14.74581,76.15401,2020,2,20,0,0.00832,37.22,94.38,16.79,28.03,10.26,10.01,34.8,18.01,26.06
14.74581,76.15401,2020,2,21,0,0.00683,31.99,94.54,17.15,27.2,7.35,6.94,34.38,17.24,25.33
14.74581,76.15401,2020,2,22,0,0.007479,35.52,94.66,17.57,26.79,8.7,8.1,34.22,16.65,25.11
