LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
10.00361,76.50781,2020,1,20,0.23,0.014067,72.33,95.53,10.82,24.27,18.69,18.52,29.82,19,23.87
10.00361,76.50781,2020,1,21,0,0.01306,67.88,95.57,11.2,24.13,17.54,17.31,29.93,18.73,23.71
10.00361,76.50781,2020,1,22,0,0.013187,67.9,95.56,11.8,24.27,17.69,17.52,30.54,18.74,23.86
10.00361,76.50781,2020,1,23,0,0.014924,73.52,95.5,10.24,24.99,19.62,19.49,30.47,20.23,24.57
10.00361,76.50781,2020,1,24,0,0.012133,63.53,95.54,11.39,23.87,16.38,16.06,30.25,18.86,23.58
10.00361,76.50781,2020,1,25,0,0.010768,59.11,95.58,14.4,22.86,14.52,14.11,30.56,16.16,22.82
10.00361,76.50781,2020,1,26,0,0.011461,60.31,95.51,14.67,23.26,15.48,15.12,30.84,16.17,23.5
10.00361,76.50781,2020,1,27,0,0.01351,66.47,95.5,11.67,24.56,18.07,17.75,31.37,19.7,24.6
10.00361,76.50781,2020,1,28,0,0.014721,71.33,95.51,9.96,25.2,19.41,19.21,30.73,20.77,24.85
10.00361,76.50781,2020,1,29,0,0.01343,64.28,95.57,11.95,25.08,17.99,17.69,31.85,19.89,25.08
10.00361,76.50781,2020,1,30,0,0.014346,66.95,95.52,11.22,25.76,19.02,18.7,32.32,21.09,25.49
10.00361,76.50781,2020,1,31,0.01,0.01422,67.12,95.39,11.39,25.65,18.86,18.57,32.11,20.72,25.27
10.00361,76.50781,2020,2,1,0.01,0.013205,64.13,95.43,12.75,25.44,17.7,17.37,31.8,19.05,24.81
10.00361,76.50781,2020,2,2,0.03,0.012503,62.07,95.62,11.74,24.95,16.87,16.52,31.01,19.28,24.48
10.00361,76.50781,2020,2,3,0,0.012098,59.8,95.6,13.41,24.89,16.34,16.05,31.65,18.23,24.56
10.00361,76.50781,2020,2,4,0.01,0.012643,60.87,95.47,13.16,25.44,17.02,16.76,31.73,18.57,24.97
10.00361,76.50781,2020,2,5,1.65,0.014428,69.59,95.51,10.84,25.61,19.1,18.9,31.01,20.17,24.93
10.00361,76.50781,2020,2,6,2.87,0.015044,72.08,95.51,11.07,25.66,19.76,19.54,31.4,20.33,25.04
10.00361,76.50781,2020,2,7,2.23,0.015625,75.45,95.57,9.9,25.63,20.36,20.19,30.88,20.98,24.91
10.00361,76.50781,2020,2,8,0.03,0.014915,70.57,95.59,9.9,26.11,19.64,19.46,31.26,21.36,25.26
10.00361,76.50781,2020,2,9,0.06,0.01391,63.96,95.54,12.03,26.6,18.54,18.32,32.36,20.32,25.74
10.00361,76.50781,2020,2,10,0.06,0.013402,60.92,95.5,12.81,26.72,17.94,17.7,32.91,20.1,25.94
10.00361,76.50781,2020,2,11,0.08,0.012912,59.07,95.51,11.75,26.51,17.35,17.12,32.56,20.81,25.83
10.00361,76.50781,2020,2,12,0,0.012346,57.32,95.64,13.98,26.36,16.66,16.4,32.96,18.98,25.61
10.00361,76.50781,2020,2,13,0,0.012898,58.32,95.61,12.62,26.55,17.35,17.04,33.23,20.61,26.05
