LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
23.62371,78.30851,2020,1,20,0,0.005685,60.52,96.53,15.8,12.64,5.15,5.1,21.11,5.31,12.52
23.62371,78.30851,2020,1,21,0.25,0.00842,71.03,96.47,17.49,16.07,10.9,10.4,25.09,7.59,16.08
23.62371,78.30851,2020,1,22,1.22,0.010105,81.22,96.61,12.01,17.2,13.64,13.54,23.9,11.89,16.85
23.62371,78.30851,2020,1,23,0,0.006737,62.26,96.66,13.96,15.04,7.64,7.46,22.91,8.95,14.71
23.62371,78.30851,2020,1,24,0,0.0052,51.12,96.56,17.4,13.19,3.83,3.72,22.94,5.54,13.75
23.62371,78.30851,2020,1,25,0,0.005432,49.46,96.45,16.2,14.37,4.42,4.35,24.36,8.15,14.91
23.62371,78.30851,2020,1,26,0,0.00612,53.65,96.34,16.77,15.37,6.15,6.01,25.05,8.28,15.48
23.62371,78.30851,2020,1,27,0,0.007687,55.03,96.02,18.86,18.1,9.46,9.15,28.15,9.29,18.61
23.62371,78.30851,2020,1,28,0,0.008623,62.59,95.92,14.38,18.71,11.19,11.08,25.88,11.5,18.36
23.62371,78.30851,2020,1,29,0,0.00631,55.8,96.38,13.75,15.79,6.62,6.43,23.36,9.61,15.35
23.62371,78.30851,2020,1,30,0,0.005835,58.53,96.53,14.53,13.88,5.52,5.42,21.7,7.17,13.43
23.62371,78.30851,2020,1,31,0,0.005139,49.52,96.32,15.87,13.89,3.61,3.57,22.98,7.11,14.02
23.62371,78.30851,2020,2,1,0,0.005486,54.11,96.52,17.2,14.38,4.61,4.6,23.33,6.14,13.69
23.62371,78.30851,2020,2,2,0,0.005074,51.57,96.7,16.98,13.82,3.5,3.43,22.8,5.82,13.26
23.62371,78.30851,2020,2,3,0.02,0.006233,57.97,96.56,17.47,15.33,6.47,6.18,24.2,6.73,14.6
23.62371,78.30851,2020,2,4,0.07,0.008742,71.41,96.28,16.42,17.22,11.44,11.18,25.26,8.85,16.55
23.62371,78.30851,2020,2,5,0,0.007385,61.43,96.38,15.25,17.06,8.94,8.82,24.89,9.64,16.3
23.62371,78.30851,2020,2,6,0,0.006988,57.32,96.28,17.35,16.95,8.1,7.97,25.76,8.41,16.5
23.62371,78.30851,2020,2,7,0,0.007722,64.22,96.43,14.85,17.25,9.62,9.53,24.85,10,16.3
23.62371,78.30851,2020,2,8,0,0.005548,53.88,96.75,14.67,14.64,4.8,4.64,22.71,8.04,13.97
23.62371,78.30851,2020,2,9,0,0.004643,48.55,96.84,18.97,13.26,2.25,2.11,23.6,4.64,12.86
23.62371,78.30851,2020,2,10,0,0.004783,45.78,96.66,20.3,14.65,2.62,2.57,24.99,4.68,14.18
23.62371,78.30851,2020,2,11,0,0.005796,49.81,96.66,20.13,16.43,5.39,5.16,26.83,6.7,15.85
23.62371,78.30851,2020,2,12,0,0.006187,47.01,96.74,19.66,17.45,6.32,6.28,27.75,8.09,17.8
23.62371,78.30851,2020,2,13,0,0.006495,44.59,96.53,17.19,18.59,6.97,6.87,29.24,12.05,19.38
23.62371,78.30851,2020,2,14,0,0.006409,45.54,96.27,17.77,19.02,6.75,6.72,28.94,11.16,18.78
23.62371,78.30851,2020,2,15,0,0.006091,43.48,96.29,15.57,18.85,6,5.87,27.8,12.23,18.72
23.62371,78.30851,2020,2,16,0,0.00451,31.73,96.49,18.03,18.12,1.69,1.46,29.48,11.45,19
