LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
19.49811,76.06141,2020,1,20,0,0.009594,56.99,95.85,16.5,23.05,12.79,12.68,30.37,13.87,21.59
19.49811,76.06141,2020,1,21,0,0.010088,52.11,95.86,16.36,24.63,13.53,13.46,32.11,15.75,23.89
19.49811,76.06141,2020,1,22,0,0.009291,46.51,95.95,15.98,25.65,12.24,12.2,32.57,16.59,24.44
19.49811,76.06141,2020,1,23,0,0.008673,45.97,95.94,15.3,24.94,11.19,11.1,31.91,16.62,23.49
19.49811,76.06141,2020,1,24,0,0.009824,54.68,95.95,16.07,24.22,13.15,13.05,31.4,15.33,22.67
19.49811,76.06141,2020,1,25,0,0.008713,46.63,95.87,16.6,24.86,11.26,11.22,32.27,15.68,23.32
19.49811,76.06141,2020,1,26,0,0.007751,41.02,95.75,17.31,24.99,9.44,9.42,33.12,15.8,23.49
19.49811,76.06141,2020,1,27,0,0.00788,39.61,95.55,18.66,25.14,9.64,9.62,34.09,15.43,24.31
19.49811,76.06141,2020,1,28,0,0.007671,42.85,95.56,15.67,23.81,9.26,9.22,30.99,15.32,22.56
19.49811,76.06141,2020,1,29,0,0.00861,51.73,95.82,15.69,23.39,11.11,10.99,30.14,14.45,21.4
19.49811,76.06141,2020,1,30,0,0.007073,44.16,95.84,18.11,23.02,8.12,8.05,30.6,12.49,20.79
19.49811,76.06141,2020,1,31,0,0.0064,39.06,95.64,19.16,22.86,6.58,6.67,31.21,12.05,21.14
19.49811,76.06141,2020,2,1,0,0.007962,45.25,95.69,18.03,23.87,9.86,9.76,31.44,13.4,22.3
19.49811,76.06141,2020,2,2,1.26,0.009186,49.31,95.89,16.34,24.8,12.08,11.95,31.53,15.2,23.26
19.49811,76.06141,2020,2,3,0.98,0.010946,54.33,95.82,13.32,25.73,14.8,14.69,31.49,18.17,24.54
19.49811,76.06141,2020,2,4,0,0.010303,49.91,95.66,12.71,26.15,13.81,13.69,31.77,19.06,24.92
19.49811,76.06141,2020,2,5,0.01,0.0081,43.17,95.75,15.79,25.32,10.11,9.86,31.04,15.24,23.37
19.49811,76.06141,2020,2,6,0.04,0.009781,48.03,95.61,14.25,26.48,12.98,12.94,31.96,17.71,24.69
19.49811,76.06141,2020,2,7,0.04,0.008776,44.19,95.65,14.42,26.02,11.31,10.51,32.96,18.54,24.29
19.49811,76.06141,2020,2,8,0.03,0.010563,63.52,95.92,11.33,23.07,14.28,14.17,28,16.66,21.38
19.49811,76.06141,2020,2,9,0,0.008892,52.72,96.03,15.52,23.32,11.64,11.57,29.78,14.26,21.65
19.49811,76.06141,2020,2,10,0,0.009807,54.46,95.97,14.18,24.49,13.13,13.04,29.92,15.75,22.71
19.49811,76.06141,2020,2,11,0,0.009668,48.78,95.99,13.72,26.29,12.87,12.85,31.16,17.44,24.31
19.49811,76.06141,2020,2,12,0,0.008822,43.74,96.13,14.12,26.62,11.46,11.46,32.3,18.18,24.63
19.49811,76.06141,2020,2,13,0,0.007243,37.25,96.03,16.91,25.85,8.45,8.5,33.11,16.2,24.02
19.49811,76.06141,2020,2,14,0,0.006225,30.8,95.77,17.58,26.29,6.18,6.32,34.07,16.48,24.63
19.49811,76.06141,2020,2,15,0,0.006154,29.74,95.73,17.52,27.16,6.02,6.15,34.41,16.89,25.02
19.49811,76.06141,2020,2,16,0,0.005854,28.02,95.84,18.95,27.03,5.32,5.46,34.99,16.03,25.2
19.49811,76.06141,2020,2,17,0,0.005335,25.98,95.95,18.49,26.67,4.02,4.13,34.62,16.14,24.94
19.49811,76.06141,2020,2,18,0,0.004388,21.39,95.87,19.36,26.67,1.31,1.38,35.18,15.82,24.92
19.49811,76.06141,2020,2,19,0,0.004263,20.15,95.74,19.48,27.33,0.9,0.94,35.28,15.8,25.41
19.49811,76.06141,2020,2,20,0,0.006444,29.09,95.66,18.35,27.33,6.68,6.61,35.31,16.97,26.16
19.49811,76.06141,2020,2,21,0,0.007058,30.65,95.86,16.03,28.35,8.04,8.13,34.85,18.82,26.84
19.49811,76.06141,2020,2,22,0,0.006946,29.37,95.98,15.44,29.67,7.83,7.95,35.4,19.96,27.32
19.49811,76.06141,2020,2,23,0,0.006799,28.27,95.83,16.93,29.28,7.5,7.6,35.88,18.95,27.58
19.49811,76.06141,2020,2,24,0,0.005371,23.36,95.58,17.84,28.73,4.09,4.11,36.16,18.32,26.78
19.49811,76.06141,2020,2,25,0,0.004405,22.06,95.66,16.25,26.28,1.32,1.39,33.25,17,24.42
19.49811,76.06141,2020,2,26,0,0.003861,20.7,95.8,18.14,25.31,-0.47,-0.4,32.89,14.76,23.32
19.49811,76.06141,2020,2,27,0,0.003995,20.32,95.76,19.6,26.28,0,0.13,34.08,14.48,24.19
19.49811,76.06141,2020,2,28,0,0.005279,25.2,95.58,18.79,27.46,3.83,3.95,34.7,15.91,25.21
19.49811,76.06141,2020,2,29,0,0.009818,50.43,95.51,17.6,25.22,13.05,18.49,32.65,15.05,23.93
19.49811,76.06141,2020,3,1,0.08,0.011191,52.18,95.56,14.13,26.41,15.09,20.32,32.71,18.58,25.54
19.49811,76.06141,2020,3,2,0.01,0.010862,49.11,95.58,13.81,26.81,14.61,20.34,33.23,19.42,26.07
19.49811,76.06141,2020,3,3,0,0.008967,44.4,95.55,17.22,25.84,11.62,18.09,33.6,16.38,24.55
19.49811,76.06141,2020,3,4,0,0.007945,42.5,95.52,17.48,24.54,9.78,16.52,32.7,15.22,23.27
19.49811,76.06141,2020,3,5,0,0.008212,42.74,95.38,17.13,24.93,10.25,16.98,31.88,14.76,23.7
19.49811,76.06141,2020,3,6,0,0.008593,47.04,95.42,17.33,24.49,10.98,16.92,31.98,14.65,22.86
19.49811,76.06141,2020,3,7,0,0.009108,48.69,95.65,17.6,25.19,11.91,17.6,32.33,14.73,23.29
19.49811,76.06141,2020,3,8,0.13,0.010333,49.51,95.64,15.08,26.81,13.85,19.48,32.75,17.66,25.11
19.49811,76.06141,2020,3,9,0.15,0.011577,49.5,95.47,12.72,28.64,15.58,21.29,33.59,20.87,26.99
19.49811,76.06141,2020,3,10,0.02,0.01135,46.41,95.37,15.79,29.98,15.23,21.49,35.78,19.99,27.74
19.49811,76.06141,2020,3,11,0.03,0.010878,47.99,95.44,13.23,28.55,14.6,20.53,33.45,20.22,26.46
19.49811,76.06141,2020,3,12,0.04,0.009662,43.74,95.6,14.85,28.37,12.76,19.41,33.01,18.15,26.06
19.49811,76.06141,2020,3,13,0.01,0.010291,43.35,95.6,15.76,29.8,13.73,20.5,35.04,19.28,27.28
19.49811,76.06141,2020,3,14,0,0.00627,27.99,95.59,16.62,29.03,6.28,16.31,35.11,18.49,26.34
19.49811,76.06141,2020,3,15,0.04,0.00796,36.46,95.62,16.32,27.75,9.79,17.84,34.07,17.75,25.89
19.49811,76.06141,2020,3,16,0.05,0.00959,38.72,95.67,15.13,30.47,12.62,20.33,35.57,20.44,28.03
19.49811,76.06141,2020,3,17,0.08,0.010721,40.84,95.71,13.58,30.68,14.36,21.69,35.86,22.28,29.03
19.49811,76.06141,2020,3,18,0.08,0.011186,41.49,95.69,12.31,31.7,15.02,22.25,35.82,23.51,29.48
19.49811,76.06141,2020,3,19,0.46,0.008235,30.49,95.55,15.54,31.95,10.29,19.9,37.93,22.39,29.52
19.49811,76.06141,2020,3,20,0,0.005332,21.94,95.52,19.05,30.43,4,15.86,37.32,18.27,27.72
19.49811,76.06141,2020,3,21,0,0.005782,25.02,95.53,18.5,29.12,5.13,15.99,36.21,17.7,26.86
19.49811,76.06141,2020,3,22,0,0.006808,27.92,95.59,17.92,30.54,7.48,17.63,36.66,18.74,27.77
19.49811,76.06141,2020,3,23,0,0.007187,27,95.49,17.47,32.4,8.27,18.77,37.78,20.31,29.27
19.49811,76.06141,2020,3,24,0.01,0.00878,29.82,95.33,16.45,34.24,11.22,21.1,38.71,22.25,30.98
19.49811,76.06141,2020,3,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
