LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
30.84571,75.43121,2020,1,20,0.01,0.00518,66.06,99.21,10.36,9.34,4.22,4.17,15.59,5.23,10.21
30.84571,75.43121,2020,1,21,0.05,0.005069,62.55,99.33,12.69,10.18,3.92,3.89,17.75,5.06,10.73
30.84571,75.43121,2020,1,22,0,0.00516,64.85,99.55,13.83,9.82,4.21,4.17,18.76,4.93,10.48
30.84571,75.43121,2020,1,23,0,0.004701,62.38,99.4,15.67,9.19,2.87,2.81,18.73,3.06,9.66
30.84571,75.43121,2020,1,24,0,0.003892,50.55,99.11,18.71,9.08,0.13,0.15,20.52,1.81,9.94
30.84571,75.43121,2020,1,25,0.03,0.00481,50.61,99.08,12.89,11.17,3.08,2.8,20.22,7.33,13.11
30.84571,75.43121,2020,1,26,0,0.005942,59.93,98.94,13.07,12.63,6.14,6.03,21.55,8.48,13.72
30.84571,75.43121,2020,1,27,2.7,0.006859,69.81,98.65,12.06,13.08,8.19,8.06,20.43,8.37,13.53
30.84571,75.43121,2020,1,28,8.65,0.007936,87.72,98.53,5.21,12.01,10.25,10.28,15.3,10.09,12.24
30.84571,75.43121,2020,1,29,0.5,0.006356,73.75,99.1,10.44,11.46,7.13,7.05,18.08,7.64,11.61
30.84571,75.43121,2020,1,30,0,0.005665,68.62,99.28,12.97,10.22,5.51,5.44,18.55,5.58,10.99
30.84571,75.43121,2020,1,31,0,0.005106,60.02,98.96,12.6,9.75,3.97,3.94,18.15,5.55,11.4
30.84571,75.43121,2020,2,1,0.01,0.004853,58.98,99.31,13.12,9.68,3.29,3.28,18.28,5.16,10.96
30.84571,75.43121,2020,2,2,0,0.004944,57.8,99.46,14.52,9.29,3.57,3.53,19.1,4.57,11.56
30.84571,75.43121,2020,2,3,0,0.004366,49.28,99.28,15.21,9.49,1.74,1.76,19.86,4.65,12.07
30.84571,75.43121,2020,2,4,0,0.00461,58.39,99.2,14.68,10.1,2.55,2.48,18.12,3.44,10.32
30.84571,75.43121,2020,2,5,0,0.005103,66.2,99.23,14.71,9.43,4,3.97,17.87,3.16,9.96
30.84571,75.43121,2020,2,6,0,0.004635,53.45,99.05,14.12,9.78,2.58,2.61,19.13,5.01,11.71
30.84571,75.43121,2020,2,7,0,0.004549,53.19,99.39,13.37,10.2,2.36,2.38,18.92,5.55,11.55
30.84571,75.43121,2020,2,8,0,0.0046,50.38,99.56,14.95,10.09,2.52,2.55,20.49,5.53,12.57
30.84571,75.43121,2020,2,9,0,0.004579,46.63,99.57,15.01,10.86,2.43,2.49,21.5,6.49,13.69
30.84571,75.43121,2020,2,10,0,0.004679,46.13,99.33,15.09,11.55,2.7,2.74,21.91,6.82,14.15
30.84571,75.43121,2020,2,11,0,0.005078,49.33,99.37,13.12,12.85,3.89,3.88,22.43,9.32,14.38
30.84571,75.43121,2020,2,12,0,0.006109,55.47,99.37,15.7,14.7,6.59,6.47,24.64,8.93,15.42
30.84571,75.43121,2020,2,13,0,0.007611,60.41,99.08,17.52,17.4,9.8,9.7,27.45,9.93,17.47
30.84571,75.43121,2020,2,14,0,0.005937,52.6,98.8,15.59,15.42,6.07,5.94,25,9.41,15.71
30.84571,75.43121,2020,2,15,0,0.004267,39.9,98.77,21.09,13.93,1.27,1.22,26.61,5.52,14.88
30.84571,75.43121,2020,2,16,0,0.004179,32.55,99.04,16.54,14.7,0.99,1.02,27.69,11.14,17.79
30.84571,75.43121,2020,2,17,0,0.004071,33.91,99.19,15.5,14.18,0.65,0.73,26.27,10.78,16.76
