LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
26.62641,73.81281,2020,1,20,0,0.003536,39.43,98.13,14.89,12.34,-1.41,-1.23,20.02,5.13,12.08
26.62641,73.81281,2020,1,21,0,0.004487,42.27,98.05,16.42,15.52,1.89,1.99,23.83,7.41,14.66
26.62641,73.81281,2020,1,22,0,0.004576,45.87,98.43,16.25,14.37,2.25,2.33,22.94,6.7,13.75
26.62641,73.81281,2020,1,23,0,0.004464,47.85,98.46,16.7,13.23,1.92,2,22.05,5.34,12.73
26.62641,73.81281,2020,1,24,0,0.003756,37.47,98.21,17.53,13.91,-0.59,-0.38,23.13,5.6,13.8
26.62641,73.81281,2020,1,25,0,0.004081,34.13,98.05,18.4,16.29,0.52,0.66,25.98,7.58,16.51
26.62641,73.81281,2020,1,26,0,0.004451,33.19,97.83,16.64,17.87,1.7,1.88,27.81,11.16,18.29
26.62641,73.81281,2020,1,27,0.77,0.006174,48.06,97.47,15.29,18.01,6.41,6.36,26.17,10.88,17.53
26.62641,73.81281,2020,1,28,0.48,0.006351,56.6,97.51,11.1,15.62,6.89,6.72,21.59,10.48,15.41
26.62641,73.81281,2020,1,29,0,0.004187,38.21,98.01,13.17,15.08,0.89,1,22.73,9.56,15.14
26.62641,73.81281,2020,1,30,0,0.003628,36.55,98.22,15.21,14.46,-1.07,-0.84,22.13,6.91,13.65
26.62641,73.81281,2020,1,31,0,0.003412,34.59,97.97,15.81,13.8,-1.94,-1.67,22.69,6.89,13.52
26.62641,73.81281,2020,2,1,0,0.003237,30.87,98.2,16.1,14.55,-2.62,-2.31,23.43,7.32,14.5
26.62641,73.81281,2020,2,2,0,0.003482,35.06,98.37,17.41,14.65,-1.61,-1.36,23.02,5.61,13.68
26.62641,73.81281,2020,2,3,0,0.003348,32.62,98.18,17.74,14.89,-2.17,-1.87,23.7,5.96,14.16
26.62641,73.81281,2020,2,4,0,0.0039,36.3,97.98,18.24,15.6,-0.11,0.11,24.68,6.44,14.83
26.62641,73.81281,2020,2,5,0,0.004136,38.81,98.11,17.03,16.11,0.74,0.92,23.93,6.9,14.73
26.62641,73.81281,2020,2,6,0,0.003296,31.72,98.03,17.01,15.16,-2.4,-2.23,23.39,6.38,14.33
26.62641,73.81281,2020,2,7,0,0.002891,28.53,98.23,17.19,14.57,-4.12,-3.73,23.44,6.25,13.98
26.62641,73.81281,2020,2,8,0,0.003071,30.45,98.48,18.84,14.75,-3.29,-3.01,24.35,5.52,13.94
26.62641,73.81281,2020,2,9,0,0.002743,26.42,98.49,19.59,14.91,-4.76,-4.33,24.85,5.26,14.4
26.62641,73.81281,2020,2,10,0,0.002695,24.73,98.27,18.45,15.24,-5.02,-4.53,25.11,6.66,15.11
26.62641,73.81281,2020,2,11,0,0.003082,26.45,98.25,19.68,16.71,-3.25,-2.92,26.88,7.2,16.14
26.62641,73.81281,2020,2,12,0,0.003466,26.22,98.32,20.79,19.11,-1.65,-1.41,29.29,8.5,18.15
26.62641,73.81281,2020,2,13,0,0.004204,29.16,98.16,19.57,20.35,0.96,1.15,30.04,10.47,19.51
26.62641,73.81281,2020,2,14,0,0.004135,29.86,97.98,14.86,19.53,0.7,0.82,27.56,12.7,18.83
26.62641,73.81281,2020,2,15,0,0.002024,14.24,97.91,18.67,18.6,-8.76,-7.74,29.88,11.2,19.25
26.62641,73.81281,2020,2,16,0,0.001908,12.12,98.07,18.81,19.72,-9.54,-8.24,31.53,12.72,20.94
26.62641,73.81281,2020,2,17,0,0.002247,14.76,98.18,18.86,20.51,-7.37,-6.52,31.52,12.66,20.4
26.62641,73.81281,2020,2,18,0,0.00214,13.11,97.97,20.78,20.08,-8.06,-7.04,31.94,11.16,21.5
26.62641,73.81281,2020,2,19,0,0.00236,15.25,97.63,16.98,18.84,-6.79,-6.1,29.62,12.63,20.59
