LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
26.93041,80.52541,2020,1,20,0,0.005739,68.82,100.35,13.65,10.54,5.85,5.77,18.37,4.72,11.31
26.93041,80.52541,2020,1,21,0,0.005746,62.44,100.48,11.55,11.29,5.89,5.84,19.14,7.59,12.82
26.93041,80.52541,2020,1,22,0,0.00595,63.97,100.5,12.41,11.25,6.4,6.26,19.91,7.5,12.99
26.93041,80.52541,2020,1,23,0,0.00583,70.05,100.31,14.77,10.87,6.07,5.95,19.85,5.08,11.27
26.93041,80.52541,2020,1,24,0,0.005215,65.19,100.21,15.6,9.8,4.46,4.32,19.42,3.83,10.66
26.93041,80.52541,2020,1,25,0,0.005061,57.83,100.26,14.38,10.03,4.02,3.94,19.44,5.06,12.03
26.93041,80.52541,2020,1,26,0,0.005862,63.24,100.07,14.5,11.33,6.12,5.8,20.59,6.09,12.87
26.93041,80.52541,2020,1,27,0,0.006997,65.44,99.9,16.11,13.89,8.68,8.47,23.04,6.94,15.03
26.93041,80.52541,2020,1,28,0.07,0.008291,75.2,99.75,9.9,14.99,11.16,11.07,21.69,11.79,15.47
26.93041,80.52541,2020,1,29,0.91,0.008581,79.96,100.1,12.24,15.13,11.7,11.63,22.13,9.89,15.11
26.93041,80.52541,2020,1,30,0.06,0.006557,70.67,100.23,11.91,12.67,7.76,7.63,20,8.09,12.9
26.93041,80.52541,2020,1,31,0,0.005418,60.56,100.08,14.77,11.42,4.98,4.91,20.18,5.42,12.33
26.93041,80.52541,2020,2,1,0,0.005556,63.18,100.38,14.25,11.21,5.39,5.24,19.99,5.74,12.11
26.93041,80.52541,2020,2,2,0,0.005364,63.6,100.5,15.31,10.91,4.9,4.8,20.28,4.97,11.5
26.93041,80.52541,2020,2,3,0,0.00528,59.76,100.47,15.72,10.77,4.66,4.55,20.03,4.32,12.2
26.93041,80.52541,2020,2,4,0,0.005488,56.43,100.3,12.54,11.23,5.18,5.1,19.7,7.16,13.64
26.93041,80.52541,2020,2,5,0,0.005683,61.05,100.2,15.35,11.98,5.68,5.54,21.23,5.87,12.95
26.93041,80.52541,2020,2,6,0,0.005718,59.13,100.22,15.7,12.48,5.77,5.68,21.46,5.77,13.54
26.93041,80.52541,2020,2,7,0,0.005732,56.92,100.42,11.7,12.4,5.83,5.77,20.66,8.96,14.2
26.93041,80.52541,2020,2,8,0,0.005097,56.22,100.59,14.26,11.29,4.16,4.12,19.85,5.59,12.62
26.93041,80.52541,2020,2,9,0,0.005098,52.01,100.67,14.55,11.92,4.15,4.08,21.52,6.97,13.82
26.93041,80.52541,2020,2,10,0,0.005222,55.29,100.5,16.1,11.96,4.49,4.43,21.54,5.43,13.23
26.93041,80.52541,2020,2,11,0,0.005265,53.12,100.51,16.34,12.27,4.59,4.55,22.05,5.71,13.97
26.93041,80.52541,2020,2,12,0,0.005845,59.02,100.42,16.9,13.29,6.12,5.97,22.97,6.07,13.94
26.93041,80.52541,2020,2,13,0,0.007399,62.85,100.02,18.07,16.07,9.53,9.19,26.46,8.39,16.55
26.93041,80.52541,2020,2,14,0,0.007338,57.78,99.69,16.57,17.29,9.34,9.21,27.66,11.08,17.7
26.93041,80.52541,2020,2,15,0,0.005718,49.74,99.88,15.64,15.12,5.66,5.63,24.19,8.55,16.17
26.93041,80.52541,2020,2,16,0,0.005021,40.61,100.16,17.66,15.17,3.77,3.83,25.71,8.04,17.37
26.93041,80.52541,2020,2,17,0,0.005379,44.54,100.25,16.62,15.27,4.79,4.76,26.1,9.48,17.01
26.93041,80.52541,2020,2,18,0,0.004788,41.53,100.05,19.34,14.74,3.08,3.1,26.09,6.75,16.25
26.93041,80.52541,2020,2,19,0,0.005693,46.23,100.11,17.18,16.13,5.61,5.41,26.47,9.29,17.29
26.93041,80.52541,2020,2,20,0,0.006436,50.46,100.07,14.9,17.46,7.42,7.4,25.99,11.09,17.84
